"","Var1","Freq"
"1","Abagrotis_mexicana",97
"2","Abagrotis_placida",6
"3","Abagrotis_variata",1
"4","Ableptina_nubifera",3
"5","Acanthovalva_inconspicuaria",1
"6","Achatia_distincta",4
"7","Acleris_fimbriana",182
"8","Aclytia_rufescens",4
"9","Acolutha_sp.",1
"10","Acontia_chea",4
"11","Acontia_phaena",4
"12","Acrapex",10
"13","Acrapex_kafula",3
"14","Acrapex_miscantha",1
"15","Acronicta_americana",17
"16","Acronicta_dactylina",4
"17","Acronicta_haesitata",9
"18","Acronicta_hastulifera",6
"19","Acronyctodes_cautama",47
"20","Acroria_sp._cr1",83
"21","Acrotomia_muciaDHJ01",4
"22","Actebia_balanitis",2
"23","Actebia_fennica",50
"24","Actebia_fugax",1
"25","Actebia_praecox",228
"26","Actinotia_intermediata",6
"27","Actinotia_radiosa",8
"28","Adafroptilum_exiguus",4
"29","Adelowalkeria_eugenia",2
"30","Adelowalkeria_flavoboliviana",3
"31","Adelowalkeria_flavosignata",7
"32","Adelowalkeria_siriae",5
"33","Adelpha_ethelda",6
"34","Adoxophyes_panxantha",206
"35","Adoxophyes_sp._3",1
"36","Adoxophyes_sp._AAP5694",114
"37","Adoxophyes_sp._D",290
"38","Adoxophyes_trirhabda",99
"39","Adrapsa_abnormalis",1
"40","Adrapsa_ereboides",34
"41","Adrapsa_thermesia",17
"42","Aemilia_affinis",5
"43","Aemilia_rubriplaga",8
"44","Aeolothaspa_sp._ANIC1",1
"45","Aergina_hilaris",1
"46","Agamana_pergrata",48
"47","Aglaonice_hirtipalpis",121
"48","Aglaonice_otignatha",139
"49","Agnippe",3
"50","Agnippe_laudatella",5
"51","Agonopterix",1
"52","Agonopterix_angelicella",1
"53","Agonopterix_argillacea",706
"54","Agonopterix_cluniana",117
"55","Agonopterix_ocellana",212
"56","Agonopterix_sp.",116
"57","Agonopterix_subtakamukui",461
"58","Agonopterix_umbellana",123
"59","Agriophara",6
"60","Agriophara_sp._ANIC12",4
"61","Agrotis",5
"62","Agrotis_antica",3
"63","Agrotis_apicalis",6
"64","Agrotis_biconica",45
"65","Agrotis_bigramma",2
"66","Agrotis_buchholzi",8
"67","Agrotis_cinerea",13
"68","Agrotis_clavis",36
"69","Agrotis_daedalus",7
"70","Agrotis_fatidica",13
"71","Agrotis_fatidica_luehri",1
"72","Agrotis_garretasorum",3
"73","Agrotis_gladiaria",14
"74","Agrotis_gravis",5
"75","Agrotis_infusa",216
"76","Agrotis_ipsilon",2682
"77","Agrotis_lata",1
"78","Agrotis_longicornis",3
"79","Agrotis_mayrorum",5
"80","Agrotis_munda",18
"81","Agrotis_obliqua",17
"82","Agrotis_orthogonia",7
"83","Agrotis_porphyricollis",2541
"84","Agrotis_puta",129
"85","Agrotis_rachingeri",4
"86","Agrotis_rileyana",12
"87","Agrotis_ripae",4
"88","Agrotis_robustior",12
"89","Agrotis_ruta",38
"90","Agrotis_schawerdai",6
"91","Agrotis_simplonia",14
"92","Agrotis_sp._1_MJM-2018",687
"93","Agrotis_stigmosa",118
"94","Agrotis_striata",2
"95","Agrotis_subterranea",3
"96","Agrotis_tokionis",3
"97","Agrotis_vancouverensis",767
"98","Agrotis_venerabilis",132
"99","Agrotis_vestigialis",12
"100","Agrotis_vetusta",39
"101","Agrotis_volubilis",499
"102","Agylla_asra",90
"103","Agylla_BioLep06BE01",130
"104","Agylla_septentrionalis",1
"105","Agylla_zucarinaDHJ02",18
"106","Agyrta_sp._2YB",3
"107","Aiteta_trigoniphora",64
"108","Albocosta",3
"109","Albocosta_triangularis",2
"110","Aleuron_chloropteraDHJ01",6
"111","Alpenus_maculosus",12
"112","Amastus_dognini",2
"113","Amastus_ochraceator",12
"114","Amata_aperta",53
"115","Amata_EF07",20
"116","Amata_humeralisEF01",9
"117","Amata_pactolina",10
"118","Amaxia_pulchra",1
"119","Amaxia_sp._3-ML",1
"120","Amolita_pepitaDHJ04",1
"121","Amphipyrinae",2
"122","Anacrusis_Malaise9920",1
"123","Anagrapha_falcifera",1
"124","Anaplectoides_prasina",882
"125","Anarta_hamata",6
"126","Anarta_trifolii",134
"127","Anchinia_BioLep471",9
"128","Ancylis_artifica",159
"129","Ancylis_mediofasciana",17
"130","Anhimella_perbrunnea",10
"131","Anicla_cemolia",1
"132","Anicla_ignicans",3
"133","Anicla_infecta",102
"134","Anicla_mus",4
"135","Anicla_temperata",3
"136","Ankale_concordensICG03",13
"137","Antaeotricha_albulella",3
"138","Antaeotricha_BioLep55",4
