HELIUM_000100422_612GNAAXX:7:57:18459:16145#0	 TAXID=9995
HELIUM_000100422_612GNAAXX:7:89:10281:5930#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:29:15520:18035#0	 TAXID=9858
HELIUM_000100422_612GNAAXX:7:6:9274:14951#0	 TAXID=9860
HELIUM_000100422_612GNAAXX:7:111:2893:6772#0	 TAXID=9858
HELIUM_000100422_612GNAAXX:7:13:6954:13039#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:98:10056:18748#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:54:9724:16321#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:61:15740:17457#0	 TAXID=34878
HELIUM_000100422_612GNAAXX:7:78:15278:3285#0	 TAXID=9611
HELIUM_000100422_612GNAAXX:7:14:17532:5546#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:95:12207:16717#0	 TAXID=9611
HELIUM_000100422_612GNAAXX:7:70:17939:13122#0	 obiclean_samplecount=2
HELIUM_000100422_612GNAAXX:7:10:6016:12365#0	 TAXID=9611
HELIUM_000100422_612GNAAXX:7:55:3707:4158#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:46:19314:17760#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:81:16334:4645#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:66:13553:6137#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:92:4743:2660#0	 TAXID=34878
HELIUM_000100422_612GNAAXX:7:103:5003:2451#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:30:17580:1988#0	 TAXID=34868
HELIUM_000100422_612GNAAXX:7:82:7554:17506#0	 obiclean_samplecount=1
HELIUM_000100422_612GNAAXX:7:20:19056:14068#0	 TAXID=9857
HELIUM_000100422_612GNAAXX:7:34:14050:19312#0	 TAXID=34878
