"","Var1","Freq"
"1","Abagrotis_alternata",2
"2","Abagrotis_apposita",4
"3","Abagrotis_dickeli",3
"4","Abagrotis_dodi",2
"5","Abagrotis_duanca",4
"6","Abagrotis_forbesi",31
"7","Abagrotis_hennei",2
"8","Abagrotis_hermina",4
"9","Abagrotis_mexicana",760
"10","Abagrotis_placida",6
"11","Abagrotis_scopeops",6
"12","Abagrotis_sp._PC-2016",4
"13","Abagrotis_striata",2
"14","Abagrotis_turbulenta",4
"15","Abagrotis_variata",5
"16","Abagrotis_vittifrons",1
"17","Achatia_distincta",30
"18","Achatodes_zeae",7
"19","Acleris_fimbriana",20
"20","Acontia_phaena",5
"21","Acrapex_kafula",15
"22","Acrapex_miscantha",10
"23","Acrapex_sp._GJK-2017",3
"24","Acronicta",6
"25","Acronicta_albarufa",1
"26","Acronicta_dactylina",75
"27","Acronicta_exempta",2
"28","Acronicta_exilis",20
"29","Acronicta_haesitata",46
"30","Acronicta_hastulifera",3
"31","Acronicta_hercules",3
"32","Acronicta_increta",235
"33","Acronicta_lanceolaria",3
"34","Acronicta_modica",2
"35","Acronicta_n_sp.",5
"36","Acronicta_ovata",41
"37","Acronicta_sp._1",2
"38","Acronicta_tristis",29
"39","Acroria_sp._cr1",3
"40","Acrotomia_muciaDHJ01",2
"41","Actebia_fennica",17
"42","Actebia_praecox",4
"43","Actinotia_radiosa",5
"44","Adelowalkeria_flavoboliviana",15
"45","Adelowalkeria_flavosignata",3
"46","Adoxophyes_panxantha",8
"47","Adoxophyes_sp._AAP5694",17
"48","Adoxophyes_sp._D",14
"49","Adrapsa",1
"50","Adrapsa_ereboides",30
"51","Adrapsa_thermesia",15
"52","Aemilia_rubriplaga",5
"53","Aergina_hilaris",1
"54","Agamana_pergrata",3
"55","Agamana_sarmentosa",1
"56","Aglaonice_hirtipalpis",3
"57","Aglaonice_otignatha",2
"58","Agonopterix_angelicella",6
"59","Agonopterix_argillacea",19
"60","Agonopterix_cluniana",6
"61","Agonopterix_oinochroa",2
"62","Agonopterix_paraselini",4
"63","Agonopterix_pupillana",2
"64","Agonopterix_sp.",6
"65","Agonopterix_subtakamukui",4
"66","Agriophara_sp._ANIC12",3
"67","Agrius_convolvuli",2
"68","Agrochola_nitida",20
"69","Agrochola_pistacinoides",6
"70","Agrotera_longitabulata",4
"71","Agrotera_sp._AAJ7071",1
"72","Agrotis_cinerea",2
"73","Agrotis_infusa",38
"74","Agrotis_ipsilon",105
"75","Agrotis_munda",3
"76","Agrotis_porphyricollis",8
"77","Agrotis_simplonia",3
"78","Agrotis_sp._1_MJM-2018",36
"79","Agrotis_stigmosa",3
"80","Agrotis_subterranea",4
"81","Agrotis_vancouverensis",282
"82","Agrotis_vetusta",10
"83","Agrotis_volubilis",12
"84","Agylla_asra",4
"85","Aiteta_trigoniphora",4
"86","Albocosta_triangularis",1
"87","Amastus_fusca",2
"88","Amastus_ochraceator",9
"89","Amata_EF07",1
"90","Amata_sp._ANIC10",1
"91","Amolita_fessa",2
"92","Amolita_pepitaDHJ04",14
"93","Amphipoea_lunata",5
"94","Amphipyrinae",3
"95","Amyna_axis",1
"96","Anagrapha_falcifera",1
"97","Anaplectoides_prasina",20195
"98","Anaplectoides_pressus",65
"99","Anapoma_pallidior",6
"100","Anarsia_sp._ANIC7",2
"101","Anarta_colletti",2
"102","Anarta_columbica",56
"103","Anarta_decepta",26
"104","Anarta_florida",3
"105","Anarta_fulgora",12
"106","Anarta_hamata",3
"107","Anarta_melanopa",4
"108","Anarta_nigrolunata",10
"109","Anarta_obesula",4
"110","Anarta_trifolii",114
"111","Antichloris_viridis",56
"112","Antitrisuloides_siamensis",1
"113","Antoculeora_ornatissima",80
"114","Apamea_amputatrix",2
"115","Apamea_geminimacula",1
"116","Apamea_lignicolora",1
"117","Aphelia_ochreana",4
"118","Aphilopota_sp._SH01",2
"119","Aplectoides_condita",72
"120","Aplogompha_opulenta",4
"121","Arachnida",297
"122","Archanara_neurica",4
"123","Archips",2
"124","Archips_cerasivorana",13
"125","Archips_fervidana",10
"126","Archips_grisea",10
"127","Archips_purpurana",7
"128","Archips_rosana",15
"129","Arctia_flavia",21
"130","Arctia_romanovi",2
"131","Arctia_souliei",5
"132","Arctiinae",147
"133","Argidia_Poole05DHJ01",628
"134","Argidia_Poole05DHJ02",729
"135","Argidia_wedelina",101
"136","Argyrosticta_aurifundens",33
"137","Argyrosticta_meres",5818
"138","Argyrotaenia_atima",1
"139","Arichanna_perimelaina",60
"140","Ariola_coelisigna",10
"141","Aristotelia_BioLep609",17
"142","Arthropoda",7
"143","Arugisa_BioLep87",4
"144","Asota_eusemioides",239
"145","Asota_heliconia",5
"146","Athaumasta_dzhungarica",2
"147","Atheropla_chorias",3
"148","Atheropla_crocea",1
"149","Athetis",18
"150","Autographa",2527
"151","Autographa_californica",9
"152","Autographa_gamma",7174
"153","Autographa_precationis",5
"154","Automeris_celata",45
"155","Automeris_celataICHG03",3
"156","Automeris_celataICHG04",12
"157","Automeris_innoxia",13
"158","Automeris_paracelata",21
"159","Automeris_pomifera",3
"160","Automeris_pomiferoides",4
"161","Automeris_sarapiqui",1
"162","Automeris_stumpei",7
"163","Axylia",3
"164","Axylia_cinerosa",70
"165","Axylia_putris",107
"166","Axylia_sp.",5
"167","Axylia_strigibasis",8
"168","Bagisara_Poole01",5
"169","Bagisara_repanda",1
"170","Balacra_rattrayi",1
"171","Balacra_rubricincta",1
"172","Baradesa_omissa",67
"173","Baronia_brevicornis",274
"174","Bastilla_purpurata",5
"175","Batocnema_coquerelii_coquerelii",1
"176","Batrachedra",7
"177","Batrachedra_pinicolella",8
